source,target,weight,type
CD4+ Epithelial+,CD8+ PD.L1+ Tcell+,-6.73009646559547,Depletion
CD4+ Epithelial+,PD.L1+ CD4+ Tcell+,-6.09887428674445,Depletion
CD4+,CD8+ PD.L1+ Tcell+,-3.28290795916113,Depletion
CD4+,CD8+ PD.L1+ APC+,-3.27590100293954,Depletion
CD4+ Epithelial+,CD8+ PD.L1+,-3.05311133645956,Depletion
CD4+ Epithelial+,PD.L1+ CD4+ APC+,-2.94579495674006,Depletion
CD4+ Epithelial+,CD8+ PD.L1+ APC+,-2.69219086074778,Depletion
CD4+,PD.L1+ CD4+ Tcell+,-2.58784500925428,Depletion
CD4+ Epithelial+,CD8+ Tcell+,-2.39874835518735,Depletion
CD4+ APC+,CD4+ Epithelial+,-2.25027702071331,Depletion
CD8+ Epithelial+,CD8+ PD.L1+ Tcell+,-2.24947630053907,Depletion
CD4+ Epithelial+,PD.L1+ CD4+,-2.17056605679207,Depletion
CD4+ Epithelial+,CD8+ APC+,-2.09198185838576,Depletion
CD4+ Epithelial+,CD4+ Tcell+,-2.03172770752229,Depletion
CD4+ Epithelial+,FoxP3+ Treg+ Tcell+,-2,Depletion
CD4+,FoxP3+ Treg+ Tcell+,-1.98109153744994,Depletion
CD4+ Epithelial+,CD8+,-1.85748342828667,Depletion
CD8+ PD.L1+,CD8+ Tcell+,-1.65604559878264,Depletion
CD4+,CD8+ Epithelial+,-1.65331484268871,Depletion
CD4+ Tcell+,CD8+ Epithelial+,-1.55581615506164,Depletion
CD4+ APC+,PD.L1+ CD4+ Tcell+,-1.23061292814142,Depletion
CD4+,CD8+ Tcell+,-1.17831627170145,Depletion
CD4+,PD.L1+ CD4+ APC+,-1.09423606984577,Depletion
CD4+,CD4+ Epithelial+,-0.900511857790524,Depletion
CD4+ APC+,CD8+ PD.L1+ Tcell+,-0.762445462439737,Depletion
CD4+,CD8+ APC+,-0.722142150849596,Depletion
CD4+ Tcell+,CD8+ PD.L1+ APC+,-0.503214811283362,Depletion
CD4+,CD4+ Tcell+,-0.452825181504994,Depletion
CD8+ PD.L1+ APC+,CD8+ PD.L1+ APC+,3.02003218856084,Enrichment
CD8+ PD.L1+ Tcell+,CD8+ PD.L1+ Tcell+,2.96010727287649,Enrichment
CD8+ PD.L1+ Tcell+,PD.L1+ CD4+ Tcell+,2.56679528231524,Enrichment
CD8+ PD.L1+ APC+,CD8+ PD.L1+ Tcell+,2.49595749466241,Enrichment
CD8+ PD.L1+ APC+,PD.L1+ CD4+ Tcell+,2.10760466392528,Enrichment
CD4+ APC+,CD4+ APC+,2.00385232549561,Enrichment
CD8+ Tcell+,CD8+ Tcell+,1.96443121563145,Enrichment
CD4+ Tcell+,CD4+ Tcell+,1.82789456036649,Enrichment
CD4+ APC+,CD8+ APC+,1.56470366173736,Enrichment
CD8+ APC+,CD8+ PD.L1+ APC+,1.54825072236464,Enrichment
CD4+ Epithelial+,CD4+ Epithelial+,1.13660948096996,Enrichment
CD4+ APC+,CD4+ Tcell+,1.07534682766374,Enrichment
CD8+,CD8+ Tcell+,1.06711419585854,Enrichment
CD4+,CD4+,1.05318003785917,Enrichment
CD4+ APC+,PD.L1+ CD4+,1.04692104738749,Enrichment
CD8+ APC+,CD8+ Tcell+,0.9698152876782,Enrichment
CD8+ PD.L1+ Tcell+,CD8+ Tcell+,0.949911451836563,Enrichment
CD4+ Tcell+,CD8+ APC+,0.931726061110607,Enrichment
CD4+ Epithelial+,CD8+ Epithelial+,0.761213140412883,Enrichment
CD8+ PD.L1+ Tcell+,PD.L1+ CD4+,0.756774075246387,Enrichment
CD4+ Tcell+,CD8+ Tcell+,0.649602012955184,Enrichment
CD8+ Tcell+,PD.L1+ CD4+ Tcell+,0.540118780245194,Enrichment
CD4+ Tcell+,PD.L1+ CD4+ Tcell+,0.477944250839036,Enrichment
CD4+ Tcell+,CD8+ PD.L1+ Tcell+,0.279995213045192,Enrichment
CD4+,CD4+ APC+,0.217372163844773,Enrichment
