enrichm	p_higher_orig	p_lower_orig	PI_value	cell_1	cell_2
-5.02147972741045	1	0	-10.0429594548209	CD4+ Epithelial+	PD.L1+ CD4+
-4.87061131304454	1	0	-9.74122262608909	CD4+ Epithelial+	CD8+ PD.L1+
4.04682085675299	0.66	1	0.703844115945175	CD8+ PD.L1+ Epithelial+	CD8+ PD.L1+ Epithelial+
-3.8972404255748	1	0	-7.7944808511496	CD4+ Epithelial+	CD8+ PD.L1+ Epithelial+
-3.43895814789755	1	0	-6.8779162957951	CD4+ Epithelial+	CD8+
3.23703919730085	0.56	1	0.790242661234872	CD8+ PD.L1+	CD8+ PD.L1+ Epithelial+
2.81942775435818	0.84	1	0.19899823977354	CD8+ PD.L1+	CD8+ PD.L1+
-2.7158933705476	1	0	-5.43178674109521	CD4+ Epithelial+	CD8+ PD.L1+ APC+
2.70009821144264	0.12	1	2.39243996967317	CD4+ Tcell+	CD4+ Tcell+
-2.62293035092018	1	0	-5.24586070184035	CD4+	CD8+ PD.L1+ Epithelial+
-2.60407132366886	1	0	-5.20814264733772	CD4+ Epithelial+	CD8+ FoxP3+ Tcell+
-2.5385381636298	1	0	-5.07707632725961	CD4+ Epithelial+	CD8+ PD.L1+ Tcell+
2.36632221424582	0.85	1	0.154997769889851	CD8+ PD.L1+	PD.L1+ CD4+
2.32192809488736	0.9	1	0.095102941897122	PD.L1+ CD4+	PD.L1+ CD4+
-2.12763327972587	1	0	-4.25526655945175	CD4+ Epithelial+	CD8+ APC+
2.07513433006078	0.33	1	0.972244183602871	CD4+ APC+	CD4+ APC+
-1.80626279471984	1	0	-3.61252558943968	CD4+	CD4+ Epithelial+
1.42575017330856	0	1	2.85150034661712	CD4+	CD4+
-1.35631202511976	1	0	-2.71262405023951	CD4+ Epithelial+	CD4+ Tcell+
1.32192809488736	0.93	1	0.0355230452964847	CD8+ PD.L1+ APC+	CD8+ PD.L1+ Epithelial+
1.32192809488736	0.96	1	0.0174868161200867	CD8+	CD8+
1.32192809488736	0.97	1	0.0115984970445062	CD8+ PD.L1+ Epithelial+	CD8+ PD.L1+ Tcell+
1.29218075149331	0.4	1	0.500353247014233	CD4+ Tcell+	CD8+ Tcell+
-1.22239242133645	1	0.55	-0.307813047389399	CD4+ APC+	CD8+ Tcell+
-1.18586654531133	1	0.6	-0.254570166937196	CD4+ APC+	PD.L1+ CD4+
