enrichm	p_higher_orig	p_lower_orig	PI_value	cell_1	cell_2
2.67096803539197	0	1	5.34193607078393	Helper T-Cell	Helper T-Cell
2.26475438650013	0	1	4.52950877300026	APC	APC
2.14295795384204	0.47	1	0.683086625722833	CTL	CTL
-1.79592523348565	1	0	-3.5918504669713	CTL	Tumor
-1.68696221422355	1	0.09	-1.68696221422355	Other	T-reg
1.62825933472371	0	1	3.25651866944741	CTL	Helper T-Cell
-1.54618892083717	1	0	-3.09237784167433	Helper T-Cell	Tumor
-1.48177494633745	1	0	-2.96354989267491	APC	Tumor
1.44870860462916	0	1	2.89741720925832	APC	Helper T-Cell
-1.40061059735388	1	0	-2.80122119470777	Other	Tumor
1.14462356307945	0.01	1	1.94468109992821	APC	CTL
1.071744565506	0	1	2.143489131012	Other	Other
-1.06711419585854	1	0.79	-0.103414050601732	APC	T-reg
-1.03102689562062	1	0.77	-0.111253366808744	Helper T-Cell	T-reg
-1	1	0.99	0	T-reg	T-reg
-1	1	0.93	-0.0268721464003014	CTL	T-reg
0.663308552440897	0.05	1	0.810462725409745	T-reg	Tumor
0.54101585943732	0	1	1.08203171887464	Tumor	Tumor
0.358879231060254	0	1	0.717758462120508	APC	Other
0.346535280931711	0	1	0.693070561863423	CTL	Other
0.010961382658938	0.47	0.54	0.00349403677301576	Helper T-Cell	Other
