source,target,weight,type
CD4+,CD8+ PD.L1+,-5.01346225980656,Depletion
CD4+ Epithelial+,PD.L1+ CD4+,-4.62410089462811,Depletion
CD4+,CD8+ PD.L1+ APC+,-3.89820835250872,Depletion
CD4+,CD4+ Epithelial+,-3.14486214291573,Depletion
CD4+,CD8+ PD.L1+ Tcell+,-2.95233356636969,Depletion
CD4+ APC+,CD8+ PD.L1+,-2.79701297783614,Depletion
CD4+ Epithelial+,PD.L1+ CD4+ APC+,-2.63508598014699,Depletion
CD8+ Tcell+,PD.L1+ CD4+ APC+,-2.23297717197761,Depletion
CD4+,PD.L1+ CD4+ APC+,-2.18288684005487,Depletion
CD8+ Tcell+,PD.L1+ CD4+,-1.79493566280354,Depletion
CD4+,PD.L1+ CD4+ Tcell+,-1.7534619140624,Depletion
CD4+,PD.L1+ CD4+,-1.72085523860272,Depletion
CD8+,PD.L1+ CD4+,-1.38266725274504,Depletion
CD4+ Tcell+,PD.L1+ CD4+,-1.28236919714924,Depletion
CD4+ APC+,PD.L1+ CD4+,-1.21059917422495,Depletion
PD.L1+ CD4+ APC+,PD.L1+ CD4+ APC+,1.92864339413681,Enrichment
CD4+ APC+,CD4+ APC+,1.57200145287883,Enrichment
PD.L1+ CD4+,PD.L1+ CD4+,1.07084979373234,Enrichment
CD4+,CD4+,0.795469211987951,Enrichment
CD8+ PD.L1+ Tcell+,PD.L1+ CD4+ APC+,0.75968567066629,Enrichment
CD4+ APC+,CD4+ Epithelial+,0.748106151771407,Enrichment
CD8+ PD.L1+,PD.L1+ CD4+,0.747484969828165,Enrichment
PD.L1+ CD4+,PD.L1+ CD4+ Tcell+,0.609294368253745,Enrichment
CD4+ APC+,CD4+ Tcell+,0.594502646347509,Enrichment
PD.L1+ CD4+,PD.L1+ CD4+ APC+,0.436601217014423,Enrichment
CD4+ APC+,PD.L1+ CD4+ APC+,0.364743118368261,Enrichment
CD4+,CD8+ Tcell+,0.359647760836521,Enrichment
CD4+,CD4+ Tcell+,0.278551032349944,Enrichment
