source,target,weight,type
CD4+ Epithelial+,PD.L1+ CD4+,-4.21023299009585,Depletion
CD4+,CD8+ Epithelial+,-3.85847839042327,Depletion
CD4+,CD4+ Epithelial+,-2.40341750460566,Depletion
CD4+ Epithelial+,FoxP3+ Treg+ Tcell+,-1.25298074116987,Depletion
CD4+ Epithelial+,CD8+,-1.1287333141222,Depletion
CD4+ Epithelial+,CD4+ Tcell+,-1.03005723385618,Depletion
CD4+,CD8+ Tcell+,-0.535560260644885,Depletion
CD4+,PD.L1+ CD4+,-0.249328641790253,Depletion
CD4+,CD4+ Tcell+,-0.133608105650907,Depletion
CD4+ Epithelial+,CD4+ Epithelial+,1.93817373886976,Enrichment
CD4+ Epithelial+,CD8+ Epithelial+,1.60432782558809,Enrichment
CD4+,CD4+,0.31406488504518,Enrichment
