source,target,weight,type
CD8+ FoxP3+ PD.L1+ Tcell+,CD8+ PD.L1+ Epithelial+,-4.77188557851537,Depletion
CD8+ PD.L1+ Tcell+,PD.L1+ CD4+ Epithelial+,-4.03913839390696,Depletion
CD8+ FoxP3+ Tcell+,CD8+ PD.L1+ Epithelial+,-3.54596836910529,Depletion
CD8+ PD.L1+ Epithelial+,CD8+ Tcell+,-3.21941910502236,Depletion
CD8+ APC+,CD8+ PD.L1+ Epithelial+,-3.15887273336567,Depletion
CD8+ APC+,PD.L1+ CD4+ Epithelial+,-3.14730669878029,Depletion
CD4+ Epithelial+,CD8+ PD.L1+ Tcell+,-2.99819550315325,Depletion
CD8+ PD.L1+ Epithelial+,CD8+ PD.L1+ Tcell+,-2.84300022231906,Depletion
CD8+ Epithelial+,CD8+ PD.L1+ APC+,-2.82293404802837,Depletion
CD8+,CD8+ PD.L1+ Epithelial+,-2.81762325751143,Depletion
CD4+ Tcell+,CD8+ PD.L1+ Epithelial+,-2.71973105674985,Depletion
CD4+ APC+,CD8+ PD.L1+ Epithelial+,-2.61982948753793,Depletion
CD8+ Epithelial+,PD.L1+ CD4+ Tcell+,-2.54349588342577,Depletion
CD8+ PD.L1+ APC+,PD.L1+ CD4+ Epithelial+,-2.52105073690096,Depletion
CD8+ Epithelial+,PD.L1+ CD4+ APC+,-2.34198574722862,Depletion
CD8+ APC+,PD.L1+ CD4+,-2.19954148220841,Depletion
CD4+ APC+,CD8+ FoxP3+ PD.L1+ Tcell+,-2.15163121690197,Depletion
CD8+ Tcell+,PD.L1+ CD4+ Epithelial+,-2.11547721741994,Depletion
CD8+ PD.L1+ Tcell+,PD.L1+ CD4+ APC+,-2.10433665981474,Depletion
CD8+ PD.L1+ APC+,CD8+ PD.L1+ Epithelial+,-2.10146231232413,Depletion
CD8+ PD.L1+ Epithelial+,PD.L1+ CD4+ Tcell+,-2.03789896510144,Depletion
CD4+ APC+,CD8+ PD.L1+ Tcell+,-1.97172966082856,Depletion
CD8+ FoxP3+ APC+,CD8+ PD.L1+ Epithelial+,-1.96962635095648,Depletion
CD8+ Epithelial+,CD8+ PD.L1+ Tcell+,-1.92599941855622,Depletion
CD4+,CD8+ FoxP3+ PD.L1+ Tcell+,-1.83953532780675,Depletion
CD4+,CD8+ PD.L1+ Epithelial+,-1.71557963888585,Depletion
CD8+ PD.L1+,CD8+ PD.L1+ Epithelial+,-1.57020724736726,Depletion
CD4+ Epithelial+,CD8+ PD.L1+ APC+,-1.56924802986718,Depletion
CD8+ Epithelial+,PD.L1+ CD4+,-1.3957829421989,Depletion
