source,target,weight,type
CD8+ APC+,CD8+ PD.L1+ Epithelial+,-4.69946834646142,Depletion
CD4+ APC+,CD8+ PD.L1+ Epithelial+,-4.06298513586133,Depletion
CD4+,CD8+ PD.L1+ Epithelial+,-3.27837609276287,Depletion
CD8+,CD8+ PD.L1+ Epithelial+,-3.12994238397696,Depletion
CD4+ Tcell+,CD8+ PD.L1+ Epithelial+,-3.03738222200308,Depletion
CD8+ PD.L1+,CD8+ PD.L1+ Epithelial+,-2.98974454569439,Depletion
CD8+ PD.L1+ Epithelial+,CD8+ Tcell+,-2.67265162932838,Depletion
CD8+ Tcell+,PD.L1+ CD4+,-2.59975950264924,Depletion
CD8+ Tcell+,PD.L1+ CD4+ APC+,-2.15347448066172,Depletion
CD8+ PD.L1+ APC+,CD8+ PD.L1+ Epithelial+,-1.92297625765766,Depletion
CD4+,CD8+ PD.L1+ Tcell+,-1.88101196378291,Depletion
CD4+,CD8+ PD.L1+ APC+,-1.76489169084046,Depletion
CD8+,PD.L1+ CD4+ Tcell+,-1.73768676140986,Depletion
CD4+ APC+,CD8+ PD.L1+,-1.68407064573408,Depletion
CD8+ PD.L1+ Epithelial+,PD.L1+ CD4+,-1.64550404265621,Depletion
CD4+ APC+,CD8+ PD.L1+ Tcell+,-1.58823763275402,Depletion
CD4+,PD.L1+ CD4+ Tcell+,-1.54596836910529,Depletion
CD8+ PD.L1+ Epithelial+,PD.L1+ CD4+ APC+,-1.45241972128192,Depletion
CD4+,CD8+ PD.L1+,-1.4280530351181,Depletion
CD8+ PD.L1+,CD8+ Tcell+,-1.21163525332715,Depletion
CD8+ APC+,PD.L1+ CD4+,-1.17472598770613,Depletion
CD8+ PD.L1+ Epithelial+,PD.L1+ CD4+ Tcell+,-1.17277195853962,Depletion
CD4+,CD8+ APC+,-1.15714805289621,Depletion
CD8+,CD8+ PD.L1+ APC+,-0.73579292798531,Depletion
CD8+ PD.L1+ Tcell+,PD.L1+ CD4+ APC+,-0.711494906650088,Depletion
CD8+ APC+,CD8+ PD.L1+,-0.707947254810033,Depletion
CD4+ APC+,CD8+,-0.651845229610046,Depletion
CD8+,CD8+ APC+,-0.591505346587928,Depletion
CD8+ APC+,CD8+ PD.L1+ Tcell+,-0.568900727255758,Depletion
CD8+ PD.L1+ APC+,CD8+ Tcell+,-0.559446491755544,Depletion
CD4+ APC+,CD8+ PD.L1+ APC+,-0.430677789655726,Depletion
CD8+ PD.L1+ Epithelial+,CD8+ PD.L1+ Tcell+,-0.413166125851211,Depletion
CD8+ PD.L1+ Epithelial+,CD8+ PD.L1+ Epithelial+,2.50145959587785,Enrichment
CD8+,CD8+,2.3574545285165,Enrichment
CD8+ PD.L1+,CD8+ PD.L1+,2.09412217736455,Enrichment
CD8+ APC+,CD8+ APC+,1.56336024623595,Enrichment
CD4+,CD4+,1.54501428639389,Enrichment
CD8+ PD.L1+,PD.L1+ CD4+,1.52731228466044,Enrichment
CD8+ PD.L1+ Tcell+,CD8+ PD.L1+ Tcell+,1.35845397091248,Enrichment
CD8+ Tcell+,CD8+ Tcell+,1.12742507072438,Enrichment
CD8+,CD8+ PD.L1+,1.10652357516483,Enrichment
CD8+,CD8+ Tcell+,1.08369708005414,Enrichment
CD8+ PD.L1+ APC+,CD8+ PD.L1+ APC+,1.07828670719614,Enrichment
CD8+ PD.L1+,PD.L1+ CD4+ APC+,1.0146467759644,Enrichment
CD4+ APC+,CD4+ APC+,0.948521354242427,Enrichment
CD8+ APC+,PD.L1+ CD4+ Tcell+,0.852910427420867,Enrichment
CD4+,CD4+ APC+,0.8200708098807,Enrichment
CD8+ APC+,CD8+ Tcell+,0.81982252657049,Enrichment
CD4+ APC+,CD8+ APC+,0.634260810632149,Enrichment
CD8+ PD.L1+,CD8+ PD.L1+ APC+,0.584883233940504,Enrichment
CD8+ PD.L1+ APC+,CD8+ PD.L1+ Tcell+,0.581687368688295,Enrichment
CD8+ PD.L1+ Tcell+,PD.L1+ CD4+ Tcell+,0.580461108486215,Enrichment
CD8+ APC+,CD8+ PD.L1+ APC+,0.194317901791311,Enrichment
