source,target,weight,type
CD4+ Epithelial+,CD8+ PD.L1+ Tcell+,-4.56803210477128,Depletion
CD4+ Epithelial+,PD.L1+ CD4+ Tcell+,-3.98002530023873,Depletion
CD4+ Epithelial+,CD8+ PD.L1+,-3.97085365434048,Depletion
CD4+ Epithelial+,CD8+ PD.L1+ APC+,-3.51853513898218,Depletion
CD4+ Epithelial+,CD8+,-3.34056226902641,Depletion
CD4+ Epithelial+,PD.L1+ CD4+ APC+,-3.31903981556254,Depletion
CD4+ APC+,CD8+ PD.L1+,-3.06350294230616,Depletion
CD8+ Tcell+,PD.L1+ CD4+ Epithelial+,-2.98002530023873,Depletion
CD4+ Tcell+,PD.L1+ CD4+ Epithelial+,-2.83289001416474,Depletion
CD4+ APC+,PD.L1+ CD4+ Epithelial+,-2.68173035543584,Depletion
CD8+ PD.L1+ Tcell+,PD.L1+ CD4+ Epithelial+,-2.57276720375085,Depletion
CD4+,CD8+ PD.L1+,-2.44493204894218,Depletion
CD4+ Epithelial+,PD.L1+ CD4+,-2.40053792958373,Depletion
FoxP3+ Treg+ Tcell+,PD.L1+ CD4+ Epithelial+,-2.35078295755955,Depletion
CD4+ APC+,CD8+ PD.L1+ Epithelial+,-2.30888505741176,Depletion
CD4+,CD8+ Epithelial+,-2.22650852980868,Depletion
CD4+,CD8+ PD.L1+ APC+,-2.05195207963472,Depletion
CD4+ Tcell+,CD8+ PD.L1+ Epithelial+,-2,Depletion
CD8+ PD.L1+,PD.L1+ CD4+ Epithelial+,-2,Depletion
CD4+,CD8+ PD.L1+ Epithelial+,-1.99819550315325,Depletion
CD4+ APC+,CD4+ Epithelial+,-1.93902399876262,Depletion
CD4+ Epithelial+,CD4+ Tcell+,-1.89849291335717,Depletion
CD4+ Epithelial+,CD8+ Tcell+,-1.69072183660895,Depletion
CD4+ Epithelial+,FoxP3+ Treg+ Tcell+,-1.6750631552403,Depletion
CD4+,CD4+ Epithelial+,-1.53533012104589,Depletion
CD4+ APC+,CD8+ PD.L1+ Tcell+,-1.36737106564853,Depletion
CD4+,PD.L1+ CD4+ Epithelial+,-1.30826579237429,Depletion
CD4+,PD.L1+ CD4+ Tcell+,-1.21145726368521,Depletion
CD4+,CD8+ PD.L1+ Tcell+,-1.14404636961671,Depletion
CD4+,PD.L1+ CD4+ APC+,-1.14301525935896,Depletion
CD4+ Epithelial+,CD8+ APC+,-0.91532967601301,Depletion
CD4+ APC+,PD.L1+ CD4+,-0.62760683812965,Depletion
CD4+,PD.L1+ CD4+,-0.564185599539721,Depletion
CD4+,CD8+ Tcell+,-0.304032202467747,Depletion
PD.L1+ CD4+ Epithelial+,PD.L1+ CD4+ Epithelial+,3.08571747712928,Enrichment
CD8+ PD.L1+ Epithelial+,PD.L1+ CD4+ Epithelial+,2.78978229260965,Enrichment
CD4+ Tcell+,CD8+ Tcell+,1.84799690655495,Enrichment
CD4+ Tcell+,CD4+ Tcell+,1.74547709402172,Enrichment
CD4+ Epithelial+,CD4+ Epithelial+,1.6735523020102,Enrichment
CD4+ Epithelial+,CD8+ Epithelial+,1.53196330970383,Enrichment
CD4+ APC+,CD4+ APC+,1.48638362727664,Enrichment
CD4+,CD4+,0.535744801977836,Enrichment
