enrichm	p_higher_orig	p_lower_orig	PI_value	cell_1	cell_2
5.21093330596138	0.12	1	4.6171820964328	CD4+ Epithelial+	CD4+ Epithelial+
3.61192954832143	0.76	1	0.40998750375805	PD.L1+ CD4+	PD.L1+ CD4+
-2.18509507353822	1	0	-4.37019014707644	CD4+	CD4+ Epithelial+
1.72718457337362	0.65	1	0.3116809307038	CD4+ Tcell+	FoxP3+ Treg+ Tcell+
-1.68565650034063	1	0.17	-1.255354742755	CD4+ Epithelial+	CD4+ Tcell+
1.58496250072116	0.91	1	0.057394935726935	FoxP3+ Treg+ Tcell+	FoxP3+ Treg+ Tcell+
1.58496250072116	0.99	1	0	CD8+ APC+	FoxP3+ Treg+
1.58496250072116	0.99	1	0	CD8+ PD.L1+ Tcell+	PD.L1+ CD4+ Tcell+
1.51784830486262	0.79	1	0.147094698968493	CD4+ Epithelial+	FoxP3+ Treg+ Epithelial+
-1.50130457167425	1	0.29	-0.785000250720665	CD4+ Epithelial+	PD.L1+ CD4+
-1.43023990592251	1	0.41	-0.538843899457547	CD4+ APC+	CD4+ Epithelial+
-1.40053792958373	1	0.5	-0.409559060116331	CD4+ Tcell+	PD.L1+ CD4+
1.38702312310925	0.66	1	0.241238270345292	CD4+ Tcell+	CD8+ Tcell+
-1.28243980500639	1	0	-2.56487961001277	CD4+	PD.L1+ CD4+ Tcell+
1.26748031086499	0.87	1	0.0703671199614976	CD8+ Tcell+	CD8+ Tcell+
1.24597924165406	0.63	1	0.241495729032927	CD4+ Tcell+	CD4+ Tcell+
-1.23132554610646	1	0.77	-0.132866672269978	CD8+ Tcell+	PD.L1+ CD4+
-1.20163386116965	1	0.6	-0.257954939233938	CD4+ Epithelial+	CD8+
-1.1720607457863	1	0	-2.34412149157261	CD4+	CD8+ APC+
-1.16992500144231	1	0.84	-0.0825745634355061	CD4+ Tcell+	CD8+
-1.14359085362885	1	0.57	-0.27054158278605	CD4+ Epithelial+	FoxP3+ Treg+
-1.13039663725568	1	0.63	-0.219093505641421	FoxP3+ Treg+ Tcell+	PD.L1+ CD4+
-1.10691520391651	1	0.87	-0.0614529742777959	CD8+	FoxP3+ Treg+ Tcell+
-1.09953567355091	1	0.79	-0.106556016426641	FoxP3+ Treg+	PD.L1+ CD4+
-1.0703893278914	1	0.9	-0.0438416565447921	CD4+ Epithelial+	CD8+ APC+
-1.0703893278914	1	0.7	-0.159211476144046	CD4+ APC+	PD.L1+ CD4+
-1.06413033741972	1	0.89	-0.0486919338698107	CD8+ Tcell+	FoxP3+ Treg+
-1.06350294230616	1	0	-2.12700588461232	CD4+	CD8+ PD.L1+ Tcell+
-1.04439411935845	1	0.84	-0.0737144589219948	CD4+ Epithelial+	CD8+ FoxP3+ Tcell+
