enrichm	p_higher_orig	p_lower_orig	PI_value	cell_1	cell_2
-3.70929063572336	1	0	-7.41858127144672	CD4+	CD8+ PD.L1+ Tcell+
2.40462406028864	0.01	1	4.08538415013509	CD8+	CD8+ Tcell+
-2.33913738491959	1	0	-4.67827476983917	CD4+	PD.L1+ CD4+
-2.29865831556452	1	0	-4.59731663112903	CD4+	FoxP3+ PD.L1+ Treg+ Tcell+
2.00428099732788	0	1	4.00856199465575	CD8+ Tcell+	CD8+ Tcell+
2	0.99	1	0	CD8+ PD.L1+ Tcell+	CD8+ PD.L1+ Tcell+
2	0.99	1	0	CD8+ PD.L1+ Tcell+	PD.L1+ CD4+
1.84738958385986	0	1	3.69477916771971	CD4+ Tcell+	FoxP3+ Treg+ Tcell+
1.77277766105936	0.29	1	0.926947759075728	CD8+	CD8+
1.75792521280185	0.04	1	2.2871134319892	CD8+ FoxP3+ Tcell+	CD8+ Tcell+
1.71140604773559	0	1	3.42281209547118	CD4+ Tcell+	CD8+ Tcell+
1.69126555016115	0	1	3.3825311003223	CD4+ Tcell+	CD4+ Tcell+
1.67157814302714	0	1	3.34315628605427	CD4+ APC+	CD4+ APC+
-1.47477958297073	1	0.32	-0.710085810953111	CD4+ APC+	CD8+ PD.L1+ Tcell+
-1.37907200199097	1	0.07	-1.51271788764296	CD4+ APC+	CD4+ Epithelial+
-1.34792330342031	1	0.34	-0.614561307794257	CD4+ Tcell+	CD8+ FoxP3+ APC+
-1.33298328339636	1	0.48	-0.412963446452654	CD4+ Tcell+	FoxP3+ Treg+ Epithelial+
-1.32414592013718	1	0	-2.64829184027436	CD4+	CD8+ FoxP3+ Tcell+
1.31451062332488	0.03	1	1.83760699217027	CD4+ Tcell+	CD8+ FoxP3+ Tcell+
1.30339214344993	0.42	1	0.477734335324138	CD8+	CD8+ FoxP3+ Tcell+
-1.29808135293299	1	0.39	-0.516558504843166	CD4+ Epithelial+	CD8+
1.24175774620338	0.65	1	0.224082715890261	FoxP3+ Treg+ Tcell+	FoxP3+ Treg+ Tcell+
1.23446525363702	0.68	1	0.198935198076871	CD4+ Epithelial+	FoxP3+ Treg+ Tcell+
1.20262916651502	0.71	1	0.171576100905642	CD8+ FoxP3+ Tcell+	CD8+ FoxP3+ Tcell+
-1.1926450779424	1	0.93	-0.0320489331380669	CD4+ Epithelial+	FoxP3+ Treg+ Epithelial+
-1.16992500144231	1	0.92	-0.0368725864584949	CD8+ APC+	CD8+ FoxP3+ APC+
-1.16146342269412	1	0.62	-0.233058612227564	CD8+ Tcell+	FoxP3+ Treg+ Epithelial+
-1.14684138832927	1	0.58	-0.262796397101183	CD8+ FoxP3+ APC+	CD8+ Tcell+
-1.14543043952156	1	0.67	-0.19184938973484	CD4+ APC+	FoxP3+ PD.L1+ Treg+ Tcell+
-1.13124453327825	1	0.79	-0.109628922435288	CD8+	FoxP3+ Treg+ Epithelial+
-1.12338241550528	1	0.72	-0.153540695542236	CD8+ APC+	FoxP3+ Treg+ Tcell+
